타임스탬프,이과 1 문과 0,"매우 그러함 5, 조금그러함 4, 보통임3, 조금 아님2, 매우 아님1",과학적 원리를 이해하는 것이 재미있나요?,답이 여러개인 문제를 한개인 문제보다 선호하시나요?,비문학보다 소설을 읽는 것을 더 좋아하시나요?,definition 1 justice 0,본인이 논리적이라고 생각하시나요?,평소 수학 문제 푸는 것을 즐기시나요?,"5팩토리얼 1, 오! 0","둘다 잇음4, 통과3, 통사2, 둘다 업음1","264 1, 시인0","J 1, P 0",계획을 하고 행동하는 편인가요?,방 정리하는 것을 즐기는 편인가요?,갑자기 생긴 약속을 즐기는 편인가요?,다이어리를 꾸준히 쓰는 편인가요?,평소 창의적이라는 말을 자주 듣나요?,일이 계획대로 되지 않으면 큰 불안감을 느끼나요?,공부할 때 본인이 좋아하는 부분부터 하는 경향이 있나요?,미래를 통제하고 싶어하나요?,사물함 정리가 잘 되어있는 편인가요?,항상 일정한 시간에 일어나고 잠드는 편인가요?
2024. 1. 4 오전 8:56:31,1,3,5,5,5,1,2,3,1,3,0,0,3,1,3,1,3,3,3,4,2,1
2024. 1. 4 오전 8:56:41,1,4,5,5,5,0,4,4,1,3,0,1,4,4,1,4,1,4,4,4,4,4
2024. 1. 4 오전 8:56:56,1,2,4,5,5,1,3,1,1,3,0,0,4,3,2,2,2,1,4,4,5,4
2024. 1. 4 오전 8:57:06,0,4,4,4,3,0,4,3,1,2,1,0,3,5,5,2,3,3,3,3,3,3
2024. 1. 4 오전 8:57:21,0,5,4,4,5,0,4,1,1,3,1,0,3,4,5,2,3,4,4,2,3,4
2024. 1. 4 오전 8:57:59,0,3,4,1,5,0,3,1,0,1,0,1,1,2,1,1,4,3,1,1,5,5
2024. 1. 4 오전 8:58:22,0,4,3,3,5,1,4,4,1,2,0,0,1,2,4,1,3,1,1,3,4,2
2024. 1. 4 오전 8:59:01,0,2,3,2,5,0,3,2,1,2,0,0,4,3,3,1,2,2,2,4,2,2
2024. 1. 4 오전 8:59:40,1,4,5,1,4,0,4,1,1,3,0,0,3,4,4,1,4,2,2,2,4,1
2024. 1. 4 오전 8:59:44,0,2,4,5,4,0,4,4,0,2,0,1,4,5,3,5,3,4,4,5,2,5
2024. 1. 4 오전 9:00:06,0,4,3,2,5,0,3,1,0,2,0,0,3,1,1,1,5,5,4,1,1,1
2024. 1. 4 오전 9:01:19,0,4,4,1,4,0,3,3,1,2,0,0,4,4,1,5,3,5,4,4,5,4
2024. 1. 4 오전 9:02:22,1,5,4,4,3,1,3,3,1,3,0,1,4,3,3,4,5,2,2,5,2,4
2024. 1. 4 오전 9:10:16,0,3,1,2,3,0,5,4,1,2,0,1,3,2,4,2,2,3,2,5,3,5
2024. 1. 4 오전 9:17:06,1,1,4,3,3,1,3,3,1,3,1,0,2,3,2,1,1,3,2,1,4,2
2024. 1. 4 오전 9:45:56,0,4,2,3,5,0,2,2,0,2,0,0,3,2,3,4,3,2,4,4,3,3
2024. 1. 4 오전 10:25:32,1,2,2,1,5,0,4,2,1,1,0,0,4,1,3,1,2,5,5,4,1,1
2024. 1. 4 오전 10:29:30,1,3,5,4,5,1,4,3,1,3,0,1,4,3,4,1,4,4,5,2,2,1
